cruise,station,mon/day/yy,hh:mm,longitude [degrees east],latitude [degrees north],Bot. Depth [m],BOTTLE NUMBER,PRESSURE [DB],TEMPERATURE [C],SALINITY [PSU],CHLOROPHYLL [MG/M^3],PAR,OXYGEN [umol/l],TRANSMISSOMETRY [%],NITRATE [umol/L],NITRITE [umol/L],PHOSPHATE [umol/L],AMMONIUM [umol/L],SILICATE [umol/L]
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,1,1198.42,3.5639,34.5158,0.4489,1.00E-12,26.683,99.9015,43.38,0.1,3.24,0,135.57
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,2,974.615,4.1917,34.4686,0.4414,1.00E-12,17.114,100.1222,43.58,0.08,3.26,0,119.08
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,3,973.991,4.2178,34.467,0.4489,1.00E-12,17.173,100.0998,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,4,923.567,4.4638,34.4496,0.4302,1.00E-12,14.444,100.1554,43.46,0.08,3.24,0,112.76
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,5,852.096,4.812,34.4238,0.4607,1.00E-12,11.249,100.0671,42.82,0.05,3.27,0,105.84
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,6,852.52,4.8173,34.4237,0.4613,1.00E-12,11.189,100.144,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,7,791.955,5.0675,34.4045,0.4551,1.00E-12,9.534,100.1145,42.18,0.09,3.25,0,101.42
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,8,731.368,5.3598,34.3817,0.4489,1.00E-12,8.75,100.0039,41.58,0.09,3.25,0,95.83
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,9,730.915,5.3588,34.382,0.4327,1.00E-12,8.71,99.9914,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,10,670.724,5.5839,34.3624,0.4489,1.00E-12,8.636,100.1145,41.1,0.08,3.21,0,90.42
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,11,609.574,5.9408,34.3349,0.434,1.00E-12,9.685,100.1478,40.03,0.06,3.17,0,83.06
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,12,609.936,5.9371,34.3349,0.4489,1.00E-12,9.893,100.1505,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,13,549.034,6.2601,34.3179,0.4477,1.00E-12,11.743,99.9865,38.77,0.06,3.07,0,78.02
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,14,487.728,6.7238,34.3015,0.4134,1.00E-12,14.97,99.9505,37.51,0.04,3,0,69.28
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,15,488.356,6.749,34.2998,0.4072,1.00E-12,15.253,99.9565,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,16,428.059,7.2307,34.2959,0.429,1.00E-12,18.807,99.9996,35.89,0.03,2.93,0,64.59
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,17,366.494,7.9801,34.3148,0.4302,1.00E-12,23.127,99.8682,34.44,0.03,2.93,0,58.34
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,18,245.265,9.1871,34.3381,0.4321,1.00E-12,32.579,99.7511,30.09,0.03,2.64,0,45.47
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,19,246.069,9.1887,34.3379,0.414,1.00E-12,32.446,99.7631,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,20,124.215,9.748,34.1632,0.3879,1.00E-12,63.172,99.4083,27.54,0.04,2.32,0,37.24
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,21,44.043,11.4366,33.6314,4.1269,1.89E+00,128.155,95.1713,18.86,0.44,1.67,0.01,21.78
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,22,44.241,11.375,33.6449,2.8766,1.88E+00,129.877,94.8983,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,23,2.844,14.4954,33.4505,1.4942,5.99E+02,259.573,95.0569,0.08,0.01,0.29,0,4.14
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,24,2.373,14.4979,33.4504,1.498,8.05E+02,259.527,95.0455,,,,,
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,1,1210.44,3.6722,34.5327,0.4607,1.00E-12,25.624,100.3074,44.71,0,3.4,0,124.23
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,2,1009.239,4.2174,34.5026,0.4358,1.00E-12,16.674,100.2927,44.55,0,3.34,0,113.04
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,3,806.562,5.0497,34.4481,0.4489,1.00E-12,8.094,100.2061,43.12,0,3.32,0,96.05
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,4,805.504,5.0728,34.4476,0.4489,1.00E-12,8.04,100.2055,,,,,
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,5,705.421,5.614,34.4472,0.4601,1.00E-12,5.589,100.2093,42.18,0,3.3,0,86.77
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,6,705.689,5.6372,34.4483,0.447,1.00E-12,5.564,100.2224,,,,,
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,7,604.528,6.2452,34.4392,0.4365,1.00E-12,4.133,100.2028,40.26,0,3.24,0,78.01
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,8,604.37,6.2438,34.4389,0.4489,1.00E-12,4.184,100.2055,,,,,
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,9,503.363,7.0329,34.4165,0.4377,1.00E-12,5.331,100.1505,38.34,0,3.17,0,67.6
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,10,503.689,7.0331,34.4162,0.4302,1.00E-12,5.168,100.1505,,,,,
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,11,484.235,7.14,34.4117,0.4128,1.00E-12,5.859,100.15,37.22,0,3.13,0,65.86
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,12,484.643,7.1501,34.412,0.4308,1.00E-12,5.75,100.1505,,,,,
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,13,403.116,7.8343,34.4249,0.4134,1.00E-12,7.138,100.1233,34.82,0,3.09,0,57.76
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,14,402.731,7.8388,34.4253,0.4371,1.00E-12,7.188,100.1205,,,,,
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,15,242.891,9.6593,34.4082,0.4165,1.00E-12,26.815,99.9614,29.27,0,2.67,0,39.99
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,16,242.785,9.7017,34.4106,0.401,1.00E-12,27.057,99.9462,,,,,
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,17,201.314,10.4012,34.3752,0.4016,1.00E-12,40.268,99.968,27.72,0,2.52,0,34.38
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,18,203.133,10.4111,34.3795,0.391,1.00E-12,40.315,99.975,,,,,
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,19,120.93,10.9135,33.8817,0.4794,1.00E-12,105.573,99.9037,22.42,0,1.61,0,22.91
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,20,121.113,10.9242,33.8665,0.4676,1.00E-12,105.715,99.8546,,,,,
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,21,58.967,14.523,33.5983,2.2898,1.00E-12,198.214,98.0951,4.33,0.42,0.76,0.04,6.66
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,22,58.924,14.5371,33.5968,2.1347,1.00E-12,195.096,98.1267,,,,,
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,23,4.19,16.5841,33.7528,0.9647,1.00E-12,232.248,96.8082,0.06,0,0.41,0,3.17
TN278,3,3/19/2012,9:48,-114.2241667,25.96694444,3752,24,3.703,16.5816,33.7526,0.9566,1.00E-12,232.226,96.8224,,,,,
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,1,1008.079,4.3507,34.4936,0.4028,1.00E-12,14.866,100.2829,44.54,0.01,3.37,0,112.19
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,2,906.586,4.7121,34.477,0.4103,1.00E-12,11.113,100.2753,44.25,0.02,3.37,0,103.39
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,3,806.985,5.1089,34.4609,0.4302,1.00E-12,7.987,100.2666,43.42,0.02,3.35,0,97.15
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,4,705.403,5.7735,34.4514,0.4489,1.00E-12,4.585,100.205,41.58,0.02,3.32,0,86.72
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,5,604.663,6.3671,34.4322,0.4601,1.00E-12,4.087,100.1777,39.61,0.02,3.29,0,78.48
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,6,503.951,7.3217,34.4459,0.434,1.00E-12,3.958,100.1728,36.41,0.02,3.16,0,66.59
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,7,402.921,8.5661,34.4755,0.4022,1.00E-12,6.12,100.0551,32.64,0.02,3.03,0,55.07
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,8,301.901,9.9522,34.5606,0.4365,1.00E-12,4.79,99.9707,28.37,0.02,2.9,0,44.65
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,9,251.212,10.5461,34.6022,0.4172,1.00E-12,4.465,99.9516,26.92,0.02,2.84,0,40.63
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,10,200.645,11.2024,34.6155,0.4053,1.00E-12,7.136,99.8464,26.97,0.02,2.76,0,37.15
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,11,151.434,12.0793,34.5762,0.3879,1.00E-12,14.647,99.8759,25.89,0.02,2.66,0,33.13
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,12,101.322,11.6089,33.9979,0.51,3.61E-02,82.271,99.7287,23.04,0.12,2.06,0,23.46
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,13,20.296,16.1304,33.7521,1.9278,1.09E+02,234.392,95.2596,0.16,0.03,0.45,0,3.57
TN278,4,3/19/2012,16:05,-113.6425,25.21083333,4007,14,3.237,16.1395,33.7523,1.1815,1.31E+03,234.339,95.0493,0.47,0.03,0.45,0,3.76
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,1,1009.71,4.1864,34.5084,0.414,1.00E-12,16.846,100.029,44.57,0,3.37,0,118.9
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,2,907.223,4.667,34.4808,0.4383,1.00E-12,11.065,100.1614,44.01,0,3.37,0,109.27
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,3,806.008,5.1951,34.4777,0.4184,1.00E-12,6.72,100.1685,43.51,0,3.37,0,100.19
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,4,604.506,6.5961,34.4593,0.4302,1.00E-12,3.085,100.1205,38.86,0,3.25,0,78.18
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,5,403.2,8.6238,34.5033,0.4408,1.00E-12,3.773,99.9097,31.24,0,3.01,0,56.89
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,6,303.29,9.9368,34.5778,0.406,1.00E-12,2.991,100.0072,27.27,0,2.89,0,48.52
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,7,250.96,10.3133,34.5714,0.4078,1.00E-12,6.514,99.9669,27.39,0,2.81,0,43.75
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,8,201.914,10.8683,34.5388,0.4346,1.00E-12,15.153,99.6971,26.38,0,2.68,0,40.12
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,9,176.648,11.0066,34.4392,0.4066,1.00E-12,31.37,99.8459,26.82,0,2.48,0,37.24
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,10,150.543,11.5027,34.426,0.4184,1.00E-12,33.599,99.3244,25.55,0,2.51,0,35.89
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,11,126.185,12.2882,34.4385,0.4358,3.65E-02,30.199,99.5244,23.91,0,2.49,0,33.2
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,12,101.288,13.1315,34.3182,0.4701,4.64E-01,44.661,99.6655,,,,,
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,13,102.165,13.1597,34.3141,0.4769,4.75E-01,43.306,99.6808,20.81,0,2.3,0,29.17
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,14,75.622,12.9824,33.7852,1.1012,2.45E+00,120.687,99.4688,17.19,0.01,1.63,0,19.21
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,15,49.765,14.8847,33.6888,3.2909,1.57E+01,208.233,96.7586,,,,,
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,16,50.888,14.9194,33.6785,3.3482,1.45E+01,207.537,96.7346,3.06,0.23,0.76,0.59,10.57
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,17,2.662,17.1582,33.8377,0.4508,3.29E+03,230.456,95.4574,,,,,
TN278,5,3/19/2012,19:51,-113.101,25.21083,1128,18,2.489,17.1602,33.8381,0.8295,3.99E+03,230.395,95.8988,3.06,0.23,0.76,0.59,10.57
TN278,6,3/20/2012,2:26,-112.744,25.2,550,1,542.636,10.0638,34.5622,0.4284,1.00E-12,2.051,99.2645,25.03,0.06,2.88,0,49.17
TN278,6,3/20/2012,2:26,-112.744,25.2,550,2,542.12,10.0638,34.5623,0.4116,1.00E-12,2.117,99.3217,,,,,
TN278,6,3/20/2012,2:26,-112.744,25.2,550,3,453.305,10.1337,34.5637,0.4003,1.00E-12,2.676,99.6078,,,,,
TN278,6,3/20/2012,2:26,-112.744,25.2,550,4,403.12,10.2203,34.5657,0.414,1.00E-12,2.704,99.7516,24.65,0,2.91,0,48.41
TN278,6,3/20/2012,2:26,-112.744,25.2,550,5,301.547,10.4895,34.5821,0.4346,1.00E-12,2.927,99.6492,24.21,0,2.9,0,47.09
TN278,6,3/20/2012,2:26,-112.744,25.2,550,6,301.328,10.4973,34.5827,0.4041,1.00E-12,2.968,99.6557,,,,,
TN278,6,3/20/2012,2:26,-112.744,25.2,550,7,251.326,10.645,34.5914,0.4066,1.00E-12,2.996,99.598,,,,,
TN278,6,3/20/2012,2:26,-112.744,25.2,550,8,199.951,11.0853,34.6068,0.4153,1.00E-12,3.778,99.3228,23.71,0,2.8,0,43.5
TN278,6,3/20/2012,2:26,-112.744,25.2,550,9,160.787,11.5218,34.586,0.4389,1.00E-12,9.976,99.3086,23.39,0,2.74,0,40.46
TN278,6,3/20/2012,2:26,-112.744,25.2,550,10,161.54,11.6755,34.5901,0.4147,1.00E-12,9.715,99.3424,,,,,
TN278,6,3/20/2012,2:26,-112.744,25.2,550,11,119.542,12.2805,34.4589,0.4159,1.00E-12,25.938,99.6378,23.01,0,2.6,0,36.11
TN278,6,3/20/2012,2:26,-112.744,25.2,550,12,121.523,12.2855,34.453,0.4165,1.00E-12,26.837,99.5805,,,,,
TN278,6,3/20/2012,2:26,-112.744,25.2,550,13,100.424,12.5316,34.3466,0.4533,1.00E-12,38.046,99.4574,23.07,0,2.41,0,31.93
TN278,6,3/20/2012,2:26,-112.744,25.2,550,14,102.463,12.5152,34.3405,0.4757,1.00E-12,37.602,99.5462,,,,,
TN278,6,3/20/2012,2:26,-112.744,25.2,550,15,60.01,13.4676,33.9195,1.3279,1.00E-12,110.452,98.6891,15.35,0.17,1.66,0.05,20.56
TN278,6,3/20/2012,2:26,-112.744,25.2,550,16,60.506,13.4728,33.921,1.3173,1.00E-12,109.045,98.6651,,,,,
TN278,6,3/20/2012,2:26,-112.744,25.2,550,17,3.095,16.5178,33.8255,1.5964,7.95E-01,235.2,96.1696,0,0,0.39,0,4.63
TN278,6,3/20/2012,2:26,-112.744,25.2,550,18,3.218,16.5181,33.8256,1.526,7.29E-01,234.99,96.1527,,,,,
TN278,006b,3/20/2012,6:58,-112.744,25.21083,542,1,545.457,10.0779,34.538,,1.00E-12,1.558,,,,,,
TN278,006b,3/20/2012,6:58,-112.744,25.21083,542,2,544.834,10.0659,34.5518,,1.00E-12,2.28,,,,,,
TN278,006b,3/20/2012,6:58,-112.744,25.21083,542,3,61.187,13.1487,33.9537,0.6825,1.00E-12,97.078,99.3206,,,,,
TN278,006b,3/20/2012,6:58,-112.744,25.21083,542,4,59.867,13.1575,33.9527,0.7448,1.00E-12,97.723,99.3277,,,,,
TN278,006b,3/20/2012,6:58,-112.744,25.21083,542,5,60.842,13.1537,33.9529,0.6489,1.00E-12,97.577,99.3005,,,,,
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,1,322.933,10.3689,34.5757,0.4016,1.00E-12,2.681,99.0847,23.68,0.13,2.89,0,47.91
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,2,322.015,10.3688,34.5757,0.4234,1.00E-12,2.65,99.0907,,,,,
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,3,302.493,10.4307,34.5784,0.4184,1.00E-12,2.635,99.41,23.93,0,2.89,0,47.72
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,4,302.597,10.4313,34.5785,0.406,1.00E-12,2.658,99.3942,,,,,
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,5,200.642,10.8324,34.6006,0.4172,1.00E-12,3.098,99.5767,,,,,
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,6,201.381,10.8682,34.6018,0.4228,1.00E-12,2.814,99.6149,22.67,0,2.89,0,45.65
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,7,150.372,11.6628,34.6002,0.4109,1.00E-12,8.144,99.4443,24.23,0,2.76,0,40.02
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,8,100.616,12.38,34.5486,0.4209,1.00E-12,10.759,99.4427,,,,,
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,9,100.936,12.3936,34.5441,0.4383,1.00E-12,11.011,99.4296,22.36,0,2.71,0,37.94
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,10,71.004,13.0977,34.2724,0.5467,1.00E-12,42.261,99.2291,20.57,0.03,2.39,0,30.98
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,11,49.93,14.0866,34.1429,0.8838,1.00E-12,52.918,98.415,,,,,
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,12,49.668,14.3143,34.0892,1.0083,1.00E-12,70.398,98.1752,15.66,0.12,1.94,0,22.13
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,13,3.683,16.8223,33.9944,2.7308,1.97E-01,226.145,92.8244,,,,,
TN278,7,3/20/2012,10:46,-112.641,25.21056,325,14,3.7,16.8174,33.9947,2.6922,8.88E-02,226.237,92.8582,0,0,0.57,0,8.38
TN278,8,3/20/2012,13:49,-112.376,25.20889,92.4,1,34.4607,12.8081,34.4607,0.4383,1.00E-12,13.736,97.2152,21.72,0.33,2.73,0.32,37.57
TN278,8,3/20/2012,13:49,-112.376,25.20889,92.4,2,34.3402,13.0161,34.3402,0.4564,1.00E-12,32.343,98.6885,21.97,0.18,2.55,0.26,32.18
TN278,8,3/20/2012,13:49,-112.376,25.20889,92.4,3,34.0355,13.4844,34.0355,0.8694,1.00E-12,87.336,99.3675,17.55,0.11,1.91,0,21.19
TN278,8,3/20/2012,13:49,-112.376,25.20889,92.4,4,33.9248,13.9279,33.9248,1.0999,7.15E-02,112.695,99.2225,15.37,0.16,1.66,0,17.63
TN278,8,3/20/2012,13:49,-112.376,25.20889,92.4,5,33.7994,14.4693,33.7994,1.3566,3.05E-01,155.343,98.9038,11.19,0.38,1.31,0.13,13.51
TN278,8,3/20/2012,13:49,-112.376,25.20889,92.4,6,33.9375,16.7559,33.9375,3.3837,1.19E+00,224.4,93.5355,0.54,0.01,0.56,0.04,5.84
TN278,8,3/20/2012,13:49,-112.376,25.20889,92.4,7,33.954,16.824,33.954,3.0006,1.91E+02,226.203,92.9623,0.15,0,0.54,0,5.81
TN278,9,3/20/2012,17:01,-112.368,24.76,106.9,1,22.129,16.1956,34.1029,3.5519,3.00E+01,193.61,92.0921,,,,,
TN278,9,3/20/2012,17:01,-112.368,24.76,106.9,2,11.268,16.3159,34.1161,4.2577,1.73E+02,202.27,89.4042,,,,,
TN278,10,3/20/2012,19:02,-112.377,24.51056,335,1,49.519,13.3831,33.8117,0.9728,9.29E+00,124.383,99.459,,,,,
TN278,10,3/20/2012,19:02,-112.377,24.51056,335,2,50.429,13.2801,33.8016,0.8177,9.44E+00,121.199,99.4563,,,,,
TN278,10,3/20/2012,19:02,-112.377,24.51056,335,3,39.886,14.3372,33.7344,2.6773,2.06E+01,156.779,97.7644,,,,,
TN278,10,3/20/2012,19:02,-112.377,24.51056,335,4,39.955,14.3744,33.7393,2.6237,1.94E+01,155.676,97.8102,,,,,
TN278,10,3/20/2012,19:02,-112.377,24.51056,335,5,24.889,17.2102,33.9697,2.6461,1.03E+02,229.398,93.1127,,,,,
TN278,10,3/20/2012,19:02,-112.377,24.51056,335,6,24.953,17.211,33.9699,2.6255,1.06E+02,229.473,93.001,,,,,
TN278,10,3/20/2012,19:02,-112.377,24.51056,335,7,2.407,17.3461,33.931,0.8352,3.75E+03,230.701,94.3671,,,,,
TN278,10,3/20/2012,19:02,-112.377,24.51056,335,8,2.644,17.3472,33.9314,0.8451,2.97E+03,230.899,94.3594,,,,,
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,1,629.811,6.2533,34.4681,0.3954,1.00E-12,3.451,99.9658,,,,,
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,2,629.663,6.2573,34.4671,0.4047,1.00E-12,3.623,99.9761,40.13,0,3.21,0.03,83.16
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,3,504.08,7.4836,34.483,0.4184,1.00E-12,2.599,100.1009,,,,,
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,4,504.287,7.494,34.4836,0.4109,1.00E-12,2.54,100.1058,35.91,0,3.09,0.02,68.68
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,5,402.152,8.1648,34.4956,0.4128,1.00E-12,3.188,100.0791,,,,,
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,6,403.309,8.1945,34.495,0.4184,1.00E-12,3.166,100.0791,33.29,0,3.01,0.02,60.83
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,7,302.046,9.5851,34.5728,0.4134,1.00E-12,1.927,100.0061,,,,,
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,8,302.573,9.5864,34.5732,0.4408,1.00E-12,1.905,99.9941,28.02,0,2.89,0.02,51.67
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,9,201.177,11.0891,34.5433,0.4128,1.00E-12,13.013,99.8464,,,,,
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,10,201.049,11.0886,34.5414,0.4084,1.00E-12,17.426,99.8622,26.19,0,2.62,0.02,38.61
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,11,150.684,11.4245,34.4324,0.4103,1.00E-12,34.493,99.8159,,,,,
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,12,150.508,11.4263,34.4324,0.4047,1.00E-12,34.174,99.835,25.71,0,2.5,0.02,34.23
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,13,124.808,11.6533,34.3467,0.4109,1.56E-01,43.833,99.8519,,,,,
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,14,126.176,11.6642,34.3325,0.4134,1.53E-01,48.032,99.8944,24.99,0,2.31,0.02,31.32
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,15,99.863,12.0454,34.1112,0.6894,9.28E-01,71.082,99.792,22.54,0,2.04,0.02,25.82
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,16,100.926,12.0588,34.0874,0.7006,9.16E-01,73.312,99.7985,,,,,
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,17,70.011,13.4608,33.6456,1.2189,6.52E+00,150.499,99.4672,12.83,0.07,1.3,0.04,14.56
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,18,70.24,13.4697,33.6467,1.4943,6.40E+00,152.226,99.2247,,,,,
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,19,55.104,17.6933,33.966,2.2455,2.32E+01,225.206,96.6992,0.23,0,0.42,0.04,5.14
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,20,54.833,17.7077,33.9697,2.1489,2.33E+01,226.182,96.4153,,,,,
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,21,3.041,18.1182,33.9831,0.5355,6.18E+02,226.909,96.7553,0.17,0,0.4,0.03,5.54
TN278,11,3/20/2012,20:55,-112.378,24.31056,636,22,3.204,18.1191,33.9833,0.4906,2.04E+02,226.182,96.776,,,,,
TN278,12,3/20/2012,23:06,-112.367,24.10056,731,1,715.21,5.7826,34.4732,0.4172,1.00E-12,4.299,100.1173,41.89,0,3.27,0.02,89.9
TN278,12,3/20/2012,23:06,-112.367,24.10056,731,2,716.212,5.757,34.4733,0.4016,1.00E-12,4.38,100.0889,,,,,
TN278,12,3/20/2012,23:06,-112.367,24.10056,731,3,504.461,7.7719,34.5014,0.4271,1.00E-12,1.895,100.0889,35.18,0,3.09,0.02,67.1
TN278,12,3/20/2012,23:06,-112.367,24.10056,731,4,302.416,9.8426,34.5615,0.4333,1.00E-12,4.47,99.9974,28.41,0,2.82,0.02,46.4
TN278,12,3/20/2012,23:06,-112.367,24.10056,731,5,201.117,11.3883,34.5532,0.3735,1.00E-12,18.155,99.938,26.58,0,2.58,0.03,36.2
TN278,12,3/20/2012,23:06,-112.367,24.10056,731,6,150.357,11.9268,34.3709,0.3991,1.00E-12,41.966,99.9511,25.49,0,2.37,0.03,30.8
TN278,12,3/20/2012,23:06,-112.367,24.10056,731,7,101.769,12.0133,33.8765,0.8314,5.82E-02,103.241,99.7511,20.6,0,1.81,0.03,21.1
TN278,12,3/20/2012,23:06,-112.367,24.10056,731,8,50.81,16.8398,33.9202,4.0203,8.24E+00,216.133,95.2547,0.39,0.01,0.54,0.08,4.4
TN278,12,3/20/2012,23:06,-112.367,24.10056,731,9,3.304,18.1618,34.0174,0.6875,1.20E+02,227.007,96.3325,0.28,0,0.37,0.04,3.5
TN278,13,3/21/2012,1:26,-112.377,23.90972,2478,1,1008.766,4.4557,34.5086,0.4122,1.00E-12,11.769,100.2513,,,,,
TN278,13,3/21/2012,1:26,-112.377,23.90972,2478,2,1008.037,4.4621,34.5082,0.4408,1.00E-12,11.995,100.2551,45.43,0,3.34,0.07,112.2
TN278,13,3/21/2012,1:26,-112.377,23.90972,2478,3,1008.062,4.4586,34.5084,0.4159,1.00E-12,11.721,100.2535,,,,,
TN278,13,3/21/2012,1:26,-112.377,23.90972,2478,4,858.276,4.9748,34.4763,0.4445,1.00E-12,8.693,100.2453,,,,,
TN278,13,3/21/2012,1:26,-112.377,23.90972,2478,5,857.88,4.9748,34.4764,0.4439,1.00E-12,8.593,100.2317,,,,,
TN278,13,3/21/2012,1:26,-112.377,23.90972,2478,6,858.453,4.9747,34.4764,0.4321,1.00E-12,8.735,100.2388,44.35,0,3.29,0.02,101.1
TN278,13,3/21/2012,1:26,-112.377,23.90972,2478,7,605.084,6.5117,34.4649,0.4228,1.00E-12,3.057,100.1276,,,,,
TN278,13,3/21/2012,1:26,-112.377,23.90972,2478,8,605.357,6.513,34.4649,0.4333,1.00E-12,3.059,100.1489,39.55,0,3.2,0.02,77.9
TN278,13,3/21/2012,1:26,-112.377,23.90972,2478,9,604.423,6.527,34.4653,0.4333,1.00E-12,2.921,100.1391,,,,,
