Data group,cruise,Station,type,mon/day/yy,hh:mm,Longitude [degrees East],Latitude [degrees North],Bot. Depth [m],Depth [m],Temperature [oC],Salinity [pss-78],SIGMA-0 [kg m-3],Oxygen [~$m~#mol/kg],Phosphate [~$m~#mol/kg],Silicate [~$m~#mol/kg],Nitrite [~$m~#mol/kg],Nitrate [~$m~#mol/kg],NH4 [~$m~#mol/kg],N deficit [~$m~#mol/kg]
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,1252,3.68,34.571,27.48,52.13764338,3.104622871,108.0291971,0,42.82238443,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,1200,3.81,34.56,27.44,48.66274769,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,1100,4.12,34.55,27.4,41.71255047,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,1003,4.48,34.547,27.4,34.76181206,3.143858283,91.49308935,0,43.41055091,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,1000,4.49,34.55,27.34,34.32728941,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,903,4.92,34.542,27.34,27.37652579,3.15377577,83.71133218,0.048669379,43.60776374,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,900,4.93,34.54,27.3,27.37652579,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,804,5.29,34.548,27.3,21.29368247,3.163632824,76.90061326,0,43.99883189,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,800,5.31,34.55,27.23,20.85911752,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,703,5.84,34.535,27.22,11.73405316,3.163848408,70.09141088,0.048674591,42.7362908,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,700,5.86,34.54,27.15,11.2995686,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,603,6.53,34.552,27.15,6.519426151,3.134887796,63.28189651,0.058414058,40.50041377,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,600,6.56,34.55,27.02,6.519426151,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,502,7.51,34.562,27.02,3.912150827,3.037915523,54.52668887,0,37.4870986,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,500,7.54,34.56,26.85,3.912150827,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,402,9.06,34.643,26.85,5.217064671,2.756001363,40.90178702,0.029215562,34.86390417,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,400,9.08,34.64,26.73,5.217064671,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,301,10,34.69,26.73,12.17457365,2.571269954,34.08880621,0.029218977,33.79661644,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,300,10.01,34.69,26.66,12.17457365,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,250,10.47,34.71,26.6,16.08892637,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,201,10.93,34.734,26.6,20.43847931,2.386518605,29.2226768,0.107149815,32.2423534,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,200,10.94,34.73,26.49,20.43847931,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,151,11.6,34.757,26.49,25.22465601,2.250387242,26.3032275,0,32.14838917,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,150,11.61,34.76,26.44,25.22465601,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,125,12,34.78,26.38,22.18138142,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,101,12.39,34.8,26.37,16.09331548,2.270114383,24.35745046,0.029228941,31.7621154,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,100,12.42,34.8,26.23,16.09347228,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,76,13.14,34.797,26.21,12.61552339,2.280190601,23.38657026,0.087699638,31.76675794,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,75,13.22,34.8,25.46,13.05079579,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,50,16.37,34.71,25.46,43.53446955,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,50,16.37,34.713,23.19,43.53446955,2.038109726,18.52827024,0.107268933,26.32964718,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,30,23.9,34.33,22.3,159.6896541,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,25,26.47,34.197,22.3,201.3142634,0.156509831,1.956372885,0,0.097818644,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,20,26.49,34.2,22.29,201.3142634,,,,,,
1,TGT66,034a,b,2/23/72,0.558333333,-110,9,1252,10,26.52,34.2,22.28,201.3162326,,,,,,
