,cruise,lat,long,marker,color
153,TGT37,13.024,-101.58,square1,green
154,TGT37,13.024,-101.58,square1,green
155,TGT37,13.024,-101.58,square1,green
156,TGT37,13.024,-101.58,square1,green
157,TGT37,13.024,-101.58,square1,green
158,TGT37,13.024,-101.58,square1,green
159,TGT37,13.024,-101.58,square1,green
160,TGT37,13.024,-101.58,square1,green
161,TGT37,13.024,-101.58,square1,green
162,TGT37,13.024,-101.58,square1,green
163,TGT37,13.024,-101.58,square1,green
164,TGT37,13.024,-101.58,square1,green
165,TGT37,13.024,-101.58,square1,green
166,TGT37,13.024,-101.58,square1,green
167,TGT37,13.024,-101.58,square1,green
168,TGT37,14.5,-102.92,square1,green
169,TGT37,14.5,-102.92,square1,green
170,TGT37,14.5,-102.92,square1,green
171,TGT37,14.5,-102.92,square1,green
172,TGT37,14.5,-102.92,square1,green
173,TGT37,14.5,-102.92,square1,green
174,TGT37,14.5,-102.92,square1,green
175,TGT37,14.5,-102.92,square1,green
176,TGT37,14.5,-102.92,square1,green
177,TGT37,14.5,-102.92,square1,green
178,TGT37,14.5,-102.92,square1,green
179,TGT37,14.5,-102.92,square1,green
180,TGT37,14.5,-102.92,square1,green
181,TGT37,14.5,-102.92,square1,green
182,TGT37,14.5,-102.92,square1,green
183,TGT37,14.5,-102.92,square1,green
184,TGT37,14.5,-102.92,square1,green
185,TGT37,14.5,-102.92,square1,green
186,TGT37,14.5,-102.92,square1,green
187,TGT37,14.5,-102.92,square1,green
188,TGT37,14.5,-102.92,square1,green
189,TGT37,14.5,-102.92,square1,green
190,TGT37,14.5,-102.92,square1,green
191,TGT37,14.5,-102.92,square1,green
192,TGT37,14.5,-102.92,square1,green
193,TGT37,14.5,-102.92,square1,green
194,TGT37,14.5,-102.92,square1,green
195,TGT37,14.5,-102.92,square1,green
196,TGT37,14.5,-102.92,square1,green
197,TGT37,14.5,-102.92,square1,green
198,TGT37,14.5,-102.92,square1,green
199,TGT37,14.5,-102.92,square1,green
200,TGT37,14.5,-102.92,square1,green
201,TGT37,14.5,-102.92,square1,green
202,TGT37,14.5,-102.92,square1,green
203,TGT37,14.5,-102.92,square1,green
204,TGT37,14.5,-102.92,square1,green
205,TGT37,14.5,-102.92,square1,green
206,TGT37,14.5,-102.92,square1,green
207,TGT37,14.5,-102.92,square1,green
208,TGT37,14.5,-102.92,square1,green
209,TGT37,14.5,-102.92,square1,green
210,TGT37,14.5,-102.92,square1,green
211,TGT37,14.5,-102.92,square1,green
212,TGT37,14.5,-102.92,square1,green
213,TGT37,14.5,-102.92,square1,green
214,TGT37,14.5,-102.92,square1,green
215,TGT37,15.93,-104.17,square1,green
216,TGT37,15.93,-104.17,square1,green
217,TGT37,15.93,-104.17,square1,green
218,TGT37,15.93,-104.17,square1,green
219,TGT37,15.93,-104.17,square1,green
220,TGT37,15.93,-104.17,square1,green
221,TGT37,15.93,-104.17,square1,green
222,TGT37,15.93,-104.17,square1,green
223,TGT37,15.93,-104.17,square1,green
224,TGT37,15.93,-104.17,square1,green
225,TGT37,15.93,-104.17,square1,green
226,TGT37,15.93,-104.17,square1,green
227,TGT37,15.93,-104.17,square1,green
228,TGT37,15.93,-104.17,square1,green
229,TGT37,15.93,-104.17,square1,green
230,TGT37,15.93,-104.17,square1,green
231,TGT37,15.93,-104.17,square1,green
232,TGT37,15.93,-104.17,square1,green
233,TGT37,15.93,-104.17,square1,green
234,TGT37,15.93,-104.17,square1,green
235,TGT37,15.93,-104.17,square1,green
236,TGT37,15.93,-104.17,square1,green
237,TGT37,15.93,-104.17,square1,green
238,TGT37,15.93,-104.17,square1,green
239,TGT37,15.93,-104.17,square1,green
240,TGT37,15.93,-104.17,square1,green
241,TGT37,15.93,-104.17,square1,green
242,TGT37,15.93,-104.17,square1,green
243,TGT37,15.93,-104.17,square1,green
244,TGT37,15.93,-104.17,square1,green
245,TGT37,15.93,-104.17,square1,green
246,TGT37,15.93,-104.17,square1,green
247,TGT37,15.93,-104.17,square1,green
248,TGT37,15.93,-104.17,square1,green
249,TGT37,17.55,-105.55,square1,green
250,TGT37,17.55,-105.55,square1,green
251,TGT37,17.55,-105.55,square1,green
252,TGT37,17.55,-105.55,square1,green
253,TGT37,17.55,-105.55,square1,green
254,TGT37,17.55,-105.55,square1,green
255,TGT37,17.55,-105.55,square1,green
256,TGT37,17.55,-105.55,square1,green
257,TGT37,17.55,-105.55,square1,green
258,TGT37,17.55,-105.55,square1,green
259,TGT37,17.55,-105.55,square1,green
260,TGT37,17.55,-105.55,square1,green
261,TGT37,17.55,-105.55,square1,green
262,TGT37,17.55,-105.55,square1,green
263,TGT37,17.55,-105.55,square1,green
264,TGT37,17.55,-105.55,square1,green
265,TGT37,17.55,-105.55,square1,green
266,TGT37,17.55,-105.55,square1,green
267,TGT37,17.55,-105.55,square1,green
268,TGT37,17.55,-105.55,square1,green
269,TGT37,17.55,-105.55,square1,green
270,TGT37,17.55,-105.55,square1,green
271,TGT37,17.55,-105.55,square1,green
272,TGT37,17.55,-105.55,square1,green
273,TGT37,17.55,-105.55,square1,green
274,TGT37,17.55,-105.55,square1,green
275,TGT37,17.55,-105.55,square1,green
276,TGT37,17.55,-105.55,square1,green
277,TGT37,17.55,-105.55,square1,green
278,TGT37,17.55,-105.55,square1,green
279,TGT37,17.55,-105.55,square1,green
280,TGT37,17.55,-105.55,square1,green
281,TGT37,17.55,-105.55,square1,green
282,TGT37,17.55,-105.55,square1,green
283,TGT37,17.55,-105.55,square1,green
284,TGT37,19,-106.55,square1,green
285,TGT37,19,-106.55,square1,green
286,TGT37,19,-106.55,square1,green
287,TGT37,19,-106.55,square1,green
288,TGT37,19,-106.55,square1,green
289,TGT37,19,-106.55,square1,green
290,TGT37,19,-106.55,square1,green
291,TGT37,19,-106.55,square1,green
292,TGT37,19,-106.55,square1,green
293,TGT37,19,-106.55,square1,green
294,TGT37,19,-106.55,square1,green
295,TGT37,19,-106.55,square1,green
296,TGT37,19,-106.55,square1,green
297,TGT37,19,-106.55,square1,green
298,TGT37,19,-106.55,square1,green
299,TGT37,19,-106.55,square1,green
300,TGT37,19,-106.55,square1,green
301,TGT37,19,-106.55,square1,green
302,TGT37,19,-106.55,square1,green
303,TGT37,19,-106.55,square1,green
304,TGT37,19,-106.55,square1,green
305,TGT37,19,-106.55,square1,green
306,TGT37,19,-106.55,square1,green
307,TGT37,19,-106.55,square1,green
308,TGT37,19,-106.55,square1,green
309,TGT37,19,-106.55,square1,green
310,TGT37,19,-106.55,square1,green
311,TGT37,19,-106.55,square1,green
312,TGT37,19,-106.55,square1,green
313,TGT37,19,-106.55,square1,green
314,TGT37,19,-106.55,square1,green
315,TGT37,19,-106.55,square1,green
316,TGT37,19,-106.55,square1,green
317,TGT37,19,-106.55,square1,green
318,TGT37,19,-106.55,square1,green
319,TGT37,20.5,-108.8,square1,green
320,TGT37,20.5,-108.8,square1,green
321,TGT37,20.5,-108.8,square1,green
322,TGT37,20.5,-108.8,square1,green
323,TGT37,20.5,-108.8,square1,green
324,TGT37,20.5,-108.8,square1,green
325,TGT37,20.5,-108.8,square1,green
326,TGT37,20.5,-108.8,square1,green
327,TGT37,20.5,-108.8,square1,green
328,TGT37,20.5,-108.8,square1,green
329,TGT37,20.5,-108.8,square1,green
330,TGT37,20.5,-108.8,square1,green
331,TGT37,20.5,-108.8,square1,green
332,TGT37,20.5,-108.8,square1,green
333,TGT37,20.5,-108.8,square1,green
334,TGT37,20.5,-108.8,square1,green
335,TGT37,20.5,-108.8,square1,green
336,TGT37,20.5,-108.8,square1,green
337,TGT37,20.5,-108.8,square1,green
338,TGT37,20.5,-108.8,square1,green
339,TGT37,20.5,-108.8,square1,green
340,TGT37,20.5,-108.8,square1,green
341,TGT37,20.5,-108.8,square1,green
342,TGT37,20.5,-108.8,square1,green
343,TGT37,20.5,-108.8,square1,green
344,TGT37,20.5,-108.8,square1,green
345,TGT37,20.5,-108.8,square1,green
346,TGT37,20.5,-108.8,square1,green
347,TGT37,20.5,-108.8,square1,green
348,TGT37,20.5,-108.8,square1,green
349,TGT37,20.5,-108.8,square1,green
350,TGT37,20.5,-108.8,square1,green
351,TGT37,20.5,-108.8,square1,green
352,TGT37,20.5,-108.8,square1,green
353,TGT37,20.5,-108.8,square1,green
354,TGT37,21.98,-110.78,square1,green
355,TGT37,21.98,-110.78,square1,green
356,TGT37,21.98,-110.78,square1,green
357,TGT37,21.98,-110.78,square1,green
358,TGT37,21.98,-110.78,square1,green
359,TGT37,21.98,-110.78,square1,green
360,TGT37,21.98,-110.78,square1,green
361,TGT37,21.98,-110.78,square1,green
362,TGT37,21.98,-110.78,square1,green
363,TGT37,21.98,-110.78,square1,green
364,TGT37,21.98,-110.78,square1,green
365,TGT37,21.98,-110.78,square1,green
366,TGT37,21.98,-110.78,square1,green
367,TGT37,21.98,-110.78,square1,green
368,TGT37,21.98,-110.78,square1,green
369,TGT37,21.98,-110.78,square1,green
370,TGT37,21.98,-110.78,square1,green
371,TGT37,21.98,-110.78,square1,green
372,TGT37,21.98,-110.78,square1,green
373,TGT37,21.98,-110.78,square1,green
374,TGT37,21.98,-110.78,square1,green
375,TGT37,21.98,-110.78,square1,green
376,TGT37,21.98,-110.78,square1,green
377,TGT37,21.98,-110.78,square1,green
378,TGT37,21.98,-110.78,square1,green
379,TGT37,21.98,-110.78,square1,green
380,TGT37,21.98,-110.78,square1,green
381,TGT37,21.98,-110.78,square1,green
382,TGT37,21.98,-110.78,square1,green
383,TGT37,21.98,-110.78,square1,green
384,TGT37,21.98,-110.78,square1,green
385,TGT37,21.98,-110.78,square1,green
386,TGT37,21.98,-110.78,square1,green
387,TGT37,21.98,-110.78,square1,green
388,TGT37,21.98,-110.78,square1,green
389,TGT37,21.98,-110.78,square1,green
390,TGT37,21.98,-110.78,square1,green
391,TGT37,21.98,-110.78,square1,green
392,TGT66,9,-110,diamond1,yellow
393,TGT66,9,-110,diamond1,yellow
394,TGT66,9,-110,diamond1,yellow
395,TGT66,9,-110,diamond1,yellow
396,TGT66,9,-110,diamond1,yellow
397,TGT66,9,-110,diamond1,yellow
398,TGT66,9,-110,diamond1,yellow
399,TGT66,9,-110,diamond1,yellow
400,TGT66,9,-110,diamond1,yellow
401,TGT66,9,-110,diamond1,yellow
402,TGT66,9,-110,diamond1,yellow
403,TGT66,9,-110,diamond1,yellow
404,TGT66,9,-110,diamond1,yellow
405,TGT66,9,-110,diamond1,yellow
406,TGT66,9,-110,diamond1,yellow
407,TGT66,9,-110,diamond1,yellow
408,TGT66,9,-110,diamond1,yellow
409,TGT66,9,-110,diamond1,yellow
410,TGT66,9,-110,diamond1,yellow
411,TGT66,9,-110,diamond1,yellow
412,TGT66,9,-110,diamond1,yellow
