Data group,cruise,Station,type,mon/day/yy,hh:mm,Longitude [degrees East],Latitude [degrees North],Bot. Depth [m],Depth [m],Temperature [oC],Salinity [pss-78],SIGMA-0 [kg m-3],Oxygen [~$m~#mol/kg],Phosphate [~$m~#mol/kg],Silicate [~$m~#mol/kg],Nitrite [~$m~#mol/kg],Nitrate [~$m~#mol/kg],NH4 [~$m~#mol/kg],N deficit [~$m~#mol/kg]
1,TGT001,65,b,12/3/65,,-101.75,16.45,,1500,2.9,34.6,27.55,56.91138853,3.133514986,142.0786298,,39.99610743,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,1400,3.14,34.57,27.51,53.43848405,,,,,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,1300,3.43,34.557,27.48,43.4476133,3.32843476,129.4391295,,41.65409582,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,1200,3.77,34.564,27.43,27.37279558,3.357729591,122.6301242,,42.43391599,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,1100,4.21,34.547,27.37,17.81490849,3.406558111,114.8496735,,42.14399034,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,1000,4.67,34.539,27.31,10.86338348,3.406757059,106.0961484,,42.92513895,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,900,5.07,34.524,27.25,6.952971491,3.406956031,100.2618489,,42.14891318,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,800,5.6,34.528,27.18,5.649619303,3.368216111,92.47992212,,41.08055488,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,700,6.16,34.528,27.07,3.911541446,3.290562511,84.69791078,,37.96802897,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,600,7.01,34.533,26.93,6.085271695,3.242232759,74.97054728,,34.46697888,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,500,8.13,34.566,26.74,6.086101292,3.096608337,62.32167723,,29.89492955,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,400,9.79,34.663,26.54,8.26123737,2.873171397,54.54155872,,25.03067963,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,300,11.33,34.756,26.44,12.61171369,2.649677558,36.04340795,,24.93814172,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,250,12.02,34.79,26.37,10.87322619,,,,,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,200,12.49,34.813,26.22,6.959339364,2.494227228,30.20353284,,29.42408683,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,150,13.23,34.813,25.97,4.350222871,2.494591803,29.23349769,,28.94116271,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,125,14.26,34.76,25.68,7.397180926,,,,,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,103,15.34,34.701,25.79,12.18703689,2.39840886,22.42414788,,23.20411824,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,100,14.98,34.728,24.83,6.092865011,2.437146005,23.39660164,,28.56335117,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,82,18.39,34.517,24.8,59.67888751,1.883239171,13.66080228,,22.15001512,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,75,18.46,34.505,22.99,60.11625962,1.854020297,12.68540203,,21.2724434,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,50,24.28,34.22,22.24,195.5053324,,,,,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,45,26.55,34.145,21.31,201.7627954,0.34238535,0.978243857,,1.956487713,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,41,29.07,33.997,21.47,203.6949744,0.195826928,0.979134641,,2.64366353,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,36,28.63,34.019,21.07,202.7889778,0.195796254,0.978981272,,0.978981272,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,30,29.12,33.703,21.09,198.4962553,0.176285661,0.979364784,,2.938094352,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,20,29.1,33.714,21.08,198.4923674,0.176282208,0.979345601,,4.113251525,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,15,29.12,33.718,21.08,198.9315235,0.176283935,0.979355193,,3.623614212,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,10,29.12,33.714,21.07,198.9315235,0.166490383,0.979355193,,1.37109727,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,5,29.14,33.713,21.07,198.9334718,0.176285661,0.979364784,,1.469047176,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,1,29.16,33.714,21.07,187.5658448,0.176285661,1.958729568,,5.582379269,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,0,29.14,33.709,,197.6218225,0.176285661,0.979364784,,0.029380944,,
1,TGT001,65,b,12/3/65,,-101.75,16.45,,,,,25.6,,,,,,,
1,TGT001,66,b,12/4/65,,-103.28,17.38,,100,15.82,34.728,24.47,6.09399376,2.281591264,15.60062402,,25.93603744,,
1,TGT001,66,b,12/4/65,,-103.28,17.38,,75,19.75,34.505,22.63,60.13562413,1.083487071,3.904457915,,6.051909768,,
1,TGT001,66,b,12/4/65,,-103.28,17.38,,50,25.47,34.21,22.14,172.0004861,,,,,,
1,TGT001,66,b,12/4/65,,-103.28,17.38,,45,26.86,34.145,21.48,201.7825347,0.273935077,0.978339562,,0,,
