Data group,cruise,Station,type,mon/day/yy,hh:mm,Longitude [degrees East],Latitude [degrees North],Bot. Depth [m],Depth [m],Temperature [oC],Salinity [pss-78],SIGMA-0 [kg m-3],Oxygen [~$m~#mol/kg],Phosphate [~$m~#mol/kg],Silicate [~$m~#mol/kg],Nitrite [~$m~#mol/kg],Nitrate [~$m~#mol/kg],NH4 [~$m~#mol/kg],N deficit [~$m~#mol/kg]
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,3271.4,1.671,34.6754,27.7555,124.3,2.57,154.94,0,38.32,,
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,3157.8,1.671,34.6756,27.7549,123.7,2.57,155.49,0,38.18,,
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,3157.3,1.671,34.6759,27.7551,123.4,2.56,155.56,0,37.8,,
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,2963.3,1.727,34.6741,27.7483,118.3,2.6,156.39,0,37.95,,
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,2764.8,1.789,34.6686,27.738,113.8,2.63,156.41,0.01,38.11,,
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,2569.1,1.848,34.6646,27.7291,108.5,2.64,157.32,0.01,38.52,,
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,2371.8,1.959,34.6584,27.7145,101.9,2.69,154.25,0,39.04,,
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,2173.1,2.079,34.6493,27.6967,94.3,2.75,152.23,0.04,39.57,,
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,1978.3,2.256,34.6398,27.6739,84.8,2.81,149.32,0.02,40.46,,
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,1784,2.543,34.6241,27.6366,71.6,2.89,145.69,0.02,41.19,,
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,1583.8,2.925,34.6082,27.5896,58,2.99,136.82,0.01,42.01,,
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,1386.9,3.517,34.5844,27.5146,37.6,3.12,123.77,0.02,43.62,,
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,1289,3.8,34.5719,27.4762,29.4,3.18,115.36,0.05,44.19,,5.510962727
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,1190.3,4.062,34.5654,27.4438,22.2,3.24,110.96,0,44.52,,4.966979191
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,1091.4,4.43,34.5544,27.3957,14.9,3.27,103.17,0,44.67,,4.349444955
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,992.1,4.818,34.545,27.3447,9.6,3.27,95.83,0,44.51,,3.915000848
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,891.2,5.381,34.5414,27.2761,3.5,3.24,86.01,0,43.55,,3.915155575
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,794.1,5.942,34.5392,27.2051,1.9,3.31,79.38,0,43.2,,3.078126427
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,695.5,6.654,34.5281,27.1033,6.3,3.06,66.04,0,39.58,,4.652554906
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,596.4,7.463,34.5448,27.0037,5.8,2.97,57.19,0,37.27,,5.754456704
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,496.8,8.435,34.5759,26.8833,5.2,2.83,47.38,0,35.46,,5.122774081
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,397,9.597,34.6302,26.7391,0.9,2.73,39.82,0,32.26,,6.054246906
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,346,10.197,34.6598,26.6599,1.3,2.63,35.88,0,31.13,,6.242399556
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,299,10.687,34.6875,26.5952,3,2.55,32.59,0,31.81,,4.953012332
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,248.9,11.531,34.7156,26.463,2.3,2.48,29.66,0,31.7,,4.265272372
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,198.9,12.319,34.7592,26.3464,0.8,2.44,26.98,0.45,30.9,,3.879564018
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,172.2,12.845,34.7692,26.2503,0.6,2.45,25.76,0.74,29.3,,4.93315544
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,147.5,14.038,34.7762,26.0114,1,2.37,23.03,0.04,30.28,,3.984611739
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,123.5,16.096,34.7308,25.524,4.4,2.22,17.54,0.02,29.18,,3.602989394
2,P18N_31DSCG94_3,174,B,1994-04-21T10:11:00.000,,250.002,14,3275,98.1,22.052,34.3878,23.7452,112.3,1.04,4.91,0.94,9.71,,
